Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume,VWAP
2019-07-05,TCS,2247.0,2250.0,2140.0,2163.1,4088470,1736073,2179.39
2019-07-08,TCS,2149.0,2188.8,2132.1,2175.4,2788062,1186748,2168.49
2019-07-09,TCS,2174.0,2174.4,2104.55,2133.35,3977224,1817164,2128.96
2019-07-10,TCS,2080.0,2127.85,2071.3,2108.2,6343581,1665050,2102.52
2019-07-11,TCS,2128.0,2129.0,2086.05,2102.55,2400346,967380,2103.2
2019-07-12,TCS,2102.1,2119.75,2093.1,2107.6,1560725,759972,2108.31
2019-07-15,TCS,2125.0,2153.6,2098.0,2145.7,2900415,1436299,2126.77
2019-07-16,TCS,2126.0,2132.5,2100.0,2106.0,2735399,1518786,2108.89
2019-07-17,TCS,2108.0,2125.0,2092.1,2117.25,1802969,639367,2111.55
2019-07-18,TCS,2116.2,2116.2,2060.0,2065.95,3072096,1936907,2084.29
2019-07-19,TCS,2077.0,2097.0,2062.5,2076.95,1953177,856415,2080.79
2019-07-22,TCS,2077.0,2117.45,2068.8,2109.9,1920167,889344,2099.33
2019-07-23,TCS,2127.9,2130.0,2102.4,2112.45,3538588,2468145,2120.71
2019-07-24,TCS,2110.0,2120.8,2076.5,2096.8,2413196,1199779,2097.5
2019-07-25,TCS,2108.9,2135.0,2092.55,2127.9,2544464,1320598,2118.42
2019-07-26,TCS,2129.8,2129.8,2095.0,2109.05,1720592,1052092,2109.59
2019-07-29,TCS,2110.8,2142.0,2103.3,2130.0,1647090,670671,2123.42
2019-07-30,TCS,2130.0,2185.0,2120.45,2179.15,2851672,1640143,2162.72
2019-07-31,TCS,2171.75,2211.7,2147.15,2205.7,3000677,1406687,2180.17
2019-08-01,TCS,2200.0,2217.5,2166.25,2180.05,2375236,1115202,2195.1
2019-08-02,TCS,2173.0,2210.0,2165.5,2205.3,2500816,1184875,2185.91
2019-08-05,TCS,2199.9,2252.25,2195.6,2248.6,3039682,1648531,2241.19
2019-08-06,TCS,2232.8,2251.95,2211.45,2214.9,2885467,1254987,2232.27
2019-08-07,TCS,2230.0,2238.5,2207.25,2213.45,2165362,1149124,2223.14
2019-08-08,TCS,2228.9,2281.0,2218.9,2258.1,2073298,942856,2247.44
2019-08-09,TCS,2260.0,2267.9,2241.35,2246.25,1744550,708230,2253.09
2019-08-13,TCS,2245.0,2246.25,2194.3,2199.45,1647281,893401,2219.61
2019-08-14,TCS,2181.1,2217.85,2167.4,2204.4,1945002,969990,2200.61
2019-08-16,TCS,2241.4,2241.4,2143.25,2165.1,3755507,2121016,2173.77
2019-08-19,TCS,2180.0,2186.0,2157.7,2163.0,974884,358199,2171.81
2019-08-20,TCS,2172.0,2205.0,2166.5,2186.75,1843611,608831,2190.28
2019-08-21,TCS,2184.95,2202.0,2182.25,2186.2,1214408,523155,2193.43
