,0,1
2,Nifty Bank,BANKNIFTY
3,Derivatives on Individual Securities,Derivatives on Individual Securities
5,ADANI ENTERPRISES LIMITED,ADANIENT
6,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,ADANIPORTS
7,AMARA RAJA BATTERIES LIMITED,AMARAJABAT
8,AMBUJA CEMENTS LIMITED,AMBUJACEM
9,APOLLO HOSPITALS ENTERPRISE LIMITED,APOLLOHOSP
10,APOLLO TYRES LIMITED,APOLLOTYRE
11,ASHOK LEYLAND LIMITED,ASHOKLEY
12,ASIAN PAINTS LIMITED,ASIANPAINT
13,AUROBINDO PHARMA LIMITED,AUROPHARMA
14,AXIS BANK LIMITED,AXISBANK
15,BAJAJ AUTO LIMITED,BAJAJ-AUTO
16,BAJAJ FINSERV LIMITED,BAJAJFINSV
17,BAJAJ FINANCE LIMITED,BAJFINANCE
18,BALKRISHNA INDUSTRIES LIMITED,BALKRISIND
19,BANDHAN BANK LIMITED,BANDHANBNK
20,BANK OF BARODA,BANKBARODA
21,BATA INDIA LIMITED,BATAINDIA
22,BHARAT ELECTRONICS LIMITED,BEL
23,BERGER PAINTS (I) LIMITED,BERGEPAINT
24,BHARAT FORGE LIMITED,BHARATFORG
25,BHARTI AIRTEL LIMITED,BHARTIARTL
26,BHARAT HEAVY ELECTRICALS LIMITED,BHEL
27,BIOCON LIMITED,BIOCON
28,BOSCH LIMITED,BOSCHLTD
29,BHARAT PETROLEUM CORPORATION LIMITED,BPCL
30,BRITANNIA INDUSTRIES LIMITED,BRITANNIA
31,CADILA HEALTHCARE LIMITED,CADILAHC
32,CANARA BANK,CANBK
33,CENTURY TEXTILES & INDUSTRIES LIMITED,CENTURYTEX
34,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,CHOLAFIN
35,CIPLA LIMITED,CIPLA
36,COAL INDIA LIMITED,COALINDIA
37,COLGATE PALMOLIVE (INDIA) LIMITED,COLPAL
