SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
BE,TATACONSUM,TATA CONSUMER PRODUCT LTD, ,22/06/2020,29/06/2020,18/06/2020, , ,AGM/DIV-RS 2.70 PER SH   
BE,COLPAL,Colgate Palmolive (India),02/06/2020, , ,01/06/2020, , ,INTERIM DIVIDEND         
BE,INFY,Infosys Limited,01/06/2020, , ,29/05/2020, , ,DIV-RS 9.50 PER SH       
BE,KANSAINER,Kansai Nerolac Paints Ltd, ,16/06/2020,22/06/2020,12/06/2020, , ,AGM/DIV-RS 3.15 PER SH   
BE,DICIND,DIC India Limited,05/06/2020, , ,04/06/2020, , ,AGM/DIV-RS 4.5 PR SH     
BE,ESABINDIA,Esabindia-depo,12/06/2020, , ,11/06/2020, , ,INTERIM DIVIDEND         
BE,JMFINANCIL,JM Financial Limited, ,19/05/2020,22/05/2020,15/05/2020, , ,DIV-RS 0.20 PER SH       
BE,PAPERPROD,Huhtamaki PPL Limited, ,15/06/2020,23/06/2020,11/06/2020, , ,DIV-RS 3 PER SH          
EQ,PAPERPROD,Huhtamaki PPL Limited, ,15/06/2020,23/06/2020,11/06/2020, , ,DIV-RS 3 PER SH          
EQ,ESABINDIA,Esab India Ltd.,12/06/2020, , ,11/06/2020, , ,INTERIM DIVIDEND         
EQ,DICIND,DIC India Limited,05/06/2020, , ,04/06/2020, , ,AGM/DIV-RS 4.5 PR SH     
EQ,JMFINANCIL,JM Financial Limited, ,19/05/2020,22/05/2020,15/05/2020, , ,DIV-RS 0.20 PER SH       
EQ,KANSAINER,Kansai Nerolac Paints Ltd, ,16/06/2020,22/06/2020,12/06/2020, , ,AGM/DIV-RS 3.15 PER SH   
EQ,INFY,Infosys Limited,01/06/2020, , ,29/05/2020, , ,DIV-RS 9.50 PER SH       
EQ,COLPAL,Colgate Palmolive (India),02/06/2020, , ,01/06/2020, , ,INTERIM DIVIDEND         
EQ,TATACONSUM,TATA CONSUMER PRODUCT LTD, ,22/06/2020,29/06/2020,18/06/2020, , ,AGM/DIV-RS 2.70 PER SH   
GS,757GS2033,GOI LOAN 7.57% 2033,16/06/2020, , ,15/06/2020, , ,INTEREST PAYMENT         
GS,617GS2023,GOI LOAN 6.17% 2023,11/06/2020, , ,10/06/2020, , ,INTEREST PAYMENT         
GS,883GS2041,GOI LOAN 8.83% 2041,11/06/2020, , ,10/06/2020, , ,INTEREST PAYMENT         
GS,83GS2042,GOI LOAN 8.30% 2042,29/06/2020, , ,26/06/2020, , ,INTEREST PAYMENT         
GS,772GS2049,GOI LOAN 7.72% 2049,12/06/2020, , ,11/06/2020, , ,INTEREST PAYMENT         
GS,768GS2023,GOI LOAN 7.68% 2023,12/06/2020, , ,11/06/2020, , ,INTEREST PAYMENT         
GS,763GS2059,GOI LOAN 7.63% 2059,16/06/2020, , ,15/06/2020, , ,INTEREST PAYMENT         
GS,116GS2020,GOI LOAN 11.60% 2020,26/06/2020, , ,25/06/2020, , ,INTEREST PAYMENT         
GS,679GS2029,GOI LOAN 6.79% 2029,25/06/2020, , ,24/06/2020, , ,INTEREST PAYMENT         
GS,815GS2022A,GOI LOAN 8.15% 2022,10/06/2020, , ,09/06/2020, , ,INTEREST PAYMENT         
GS,794GS2021,GOI LOAN 7.94% 2021,22/05/2020, , ,21/05/2020, , ,INTEREST PAYMENT         
