GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,SHREE CEMENT LIMITED,     19411.65,     18340.75,5.84
G,MAHINDRA & MAHINDRA LTD,       405.05,       382.90,5.78
G,DR. REDDY'S LABORATORIES,      3910.20,      3699.60,5.69
G,HDFC LTD,      1627.00,      1539.85,5.66
G,EICHER MOTORS LTD,     13675.10,     12966.20,5.47
G,GAIL (INDIA) LTD,        86.25,        81.85,5.38
G,BHARAT PETROLEUM CORP  LT,       308.90,       293.30,5.32
G,UPL LIMITED,       356.55,       339.65,4.98
G,GRASIM INDUSTRIES LTD,       536.85,       511.85,4.88
G,LARSEN & TOUBRO LTD.,       835.00,       796.35,4.85
G,CIPLA LTD,       620.65,       594.95,4.32
G,TATA STEEL LIMITED,       283.20,       272.00,4.12
G,BAJAJ FINANCE LIMITED,      2042.80,      1964.95,3.96
G,BAJAJ FINSERV LTD.,      4702.05,      4535.45,3.67
G,HDFC BANK LTD,       857.10,       830.65,3.18
G,SUN PHARMACEUTICAL IND L,       455.75,       441.70,3.18
G,HINDALCO  INDUSTRIES  LTD,       120.80,       117.30,2.98
G,ITC LTD,       175.75,       170.75,2.93
G,INDIAN OIL CORP LTD,        74.10,        72.05,2.85
G,TITAN COMPANY LIMITED,       848.70,       826.80,2.65
G,ULTRATECH CEMENT LIMITED,      3528.50,      3438.15,2.63
G,KOTAK MAHINDRA BANK LTD,      1160.10,      1130.45,2.62
G,AXIS BANK LIMITED,       362.50,       354.50,2.26
G,ZEE ENTERTAINMENT ENT LTD,       153.55,       150.25,2.2
G,NTPC LTD,        92.90,        91.05,2.03
G,TATA MOTORS LIMITED,        83.45,        81.80,2.02
G,BAJAJ AUTO LIMITED,      2557.75,      2509.30,1.93
G,MARUTI SUZUKI INDIA LTD.,      4891.95,      4805.30,1.8
G,ICICI BANK LTD.,       305.65,       300.30,1.78
G,RELIANCE INDUSTRIES LTD,      1433.70,      1408.90,1.76
 , , , , 
L,BHARTI INFRATEL LTD.,       200.85,       218.75,-8.18
L,INDUSIND BANK LIMITED,       357.30,       367.80,-2.85
L,HERO MOTOCORP LIMITED,      2023.60,      2073.50,-2.41
L,VEDANTA LIMITED,        88.55,        90.00,-1.61
L,BHARTI AIRTEL LIMITED,       594.05,       598.80,-0.79
L,COAL INDIA LTD,       123.25,       123.60,-0.28
L,ASIAN PAINTS LIMITED,      1500.05,      1503.95,-0.26
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,AUROBINDO PHARMA LTD,       707.60,       662.40,6.82
G,PAGE INDUSTRIES LTD,     18652.45,     17497.75,6.6
G,DLF LIMITED,       139.25,       131.45,5.93
G,HINDUSTAN PETROLEUM CORP,       178.85,       171.35,4.38
G,LUPIN LIMITED,       873.20,       840.35,3.91
G,PIRAMAL ENTERPRISES LTD,       914.05,       880.10,3.86
G,VODAFONE IDEA LIMITED,         5.65,         5.45,3.67
G,MOTHERSON SUMI SYSTEMS LT,        82.00,        79.10,3.67
G,CADILA HEALTHCARE LIMITED,       337.80,       325.90,3.65
G,UNITED SPIRITS LIMITED,       575.15,       555.10,3.61
G,INDIABULLS HSG FIN LTD,       124.25,       120.40,3.2
G,L&T FINANCE HOLDINGS LTD,        53.70,        52.05,3.17
G,BIOCON LIMITED.,       346.85,       336.60,3.05
G,AMBUJA CEMENTS LTD,       179.65,       174.60,2.89
G,ACC LIMITED,      1170.85,      1138.45,2.85
G,DIVI'S LABORATORIES LTD,      2372.70,      2321.75,2.19
G,GODREJ CONSUMER PRODUCTS,       564.65,       554.00,1.92
G,SBI LIFE INSURANCE CO LTD,       715.80,       702.95,1.83
G,HDFC LIFE INS CO LTD,       479.25,       471.75,1.59
G,PETRONET LNG LIMITED,       227.60,       224.10,1.56
G,MARICO LIMITED,       316.90,       312.80,1.31
G,BOSCH LIMITED,      9264.30,      9149.25,1.26
G,ICICI PRU LIFE INS CO LTD,       364.05,       359.85,1.17
G,BERGER PAINTS (I) LTD,       444.10,       439.30,1.09
G,ICICI LOMBARD GIC LIMITED,      1235.00,      1222.55,1.02
G,POWER FIN CORP LTD.,        81.00,        80.30,0.87
G,BAJAJ HOLDINGS & INVS LTD,      1903.70,      1888.60,0.8
G,BANDHAN BANK LIMITED,       222.10,       220.40,0.77
G,ASHOK LEYLAND LTD,        43.35,        43.05,0.7
G,GENERAL INS CORP OF INDIA,       124.80,       123.95,0.69
 , , , , 
L,ORACLE FIN SERV SOFT LTD.,      2338.60,      2417.80,-3.28
L,HINDUSTAN ZINC LIMITED,       170.65,       174.10,-1.98
