MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,      8879.10,      8889.15,      9093.80,      8875.35,      9066.55,463656200921.20,2344092387,Y, ,15879926,     12430.50,      7511.10
Y, , ,NIFTY50 EQL Wgt,      9221.10,      9214.60,      9440.05,      9186.35,      9406.80,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     10151.25,     10152.35,     10372.60,     10125.75,     10338.15,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,      7410.25,      7412.75,      7547.60,      7398.95,      7528.50,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     11083.10,     11074.25,     11231.70,     11059.45,     11212.60,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,      4766.70,      4774.60,      4844.35,      4766.75,      4834.15,0,0,Y, ,0,      6808.20,      4088.05
Y, , ,NIFTY SMLCAP 50,      1795.90,      1798.45,      1815.50,      1795.35,      1812.20,0,0,Y, ,0,      3221.05,      1545.45
Y, , ,NIFTY SMLCAP 250,      3352.50,      3357.60,      3396.75,      3356.45,      3394.00,0,0,Y, ,0,      5498.50,      2867.40
Y, , ,NIFTY MIDSML 400,      4256.90,      4263.80,      4322.00,      4258.50,      4315.00,0,0,Y, ,0,      6262.30,      3650.20
Y, , ,NIFTY200 QUALTY30,      8310.30,      8310.85,      8425.60,      8294.05,      8403.65,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty IT,     13446.60,     13443.50,     13556.90,     13362.55,     13517.35,0,0,Y, ,0,     16882.45,     10991.25
Y, , ,Nifty Next 50,     22567.80,     22581.50,     23070.15,     22528.85,     23003.10,0,0,Y, ,0,     29259.50,     18384.05
Y, , ,Nifty Bank,     17486.25,     17486.50,     18002.65,     17407.70,     17840.20,0,0,Y, ,0,     32613.10,     16116.25
Y, , ,NIFTY MIDCAP 100,     12471.15,     12492.45,     12698.90,     12463.90,     12664.20,0,0,Y, ,0,     18495.90,     10749.95
Y, , ,Nifty 500,      7284.50,      7292.90,      7446.85,      7281.80,      7426.85,0,0,Y, ,0,     10174.95,      6151.60
