SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,H
3IINFOTECH,EQ,3I INFOTECH LTD.,H
509GS2022,GS,GOI LOAN 5.09% 2022,H
727GS2026,GS,GOI LOAN 7.27% 2026,H
772GS2049,GS,GOI LOAN 7.72% 2049,H
ADFFOODS,EQ,ADF FOODS LIMITED,H
ADHUNIKIND,EQ,ADHUNIK INDUSTRIES LTD,H
AFFLE,BE,AFFLE (INDIA) LIMITED,H
AHLWEST,BE,ASIAN HOTELS (WEST) LTD,H
ALCHEM,BE,ALCHEMIST LTD,H
ALOKINDS,EQ,ALOK INDUSTRIES LIMITED,H
ALPSINDUS,BE,ALPS INDUSTRIES LTD.,H
ANDHRACEMT,BE,ANDHRA CEMENTS LIMITED,H
ANDHRSUGAR,EQ,ANDHRA SUGARS LTD,H
ARIHANT,EQ,ARIHANT FOUN & HOU LTD,H
ARIHANTSUP,EQ,ARIHANT SUPERSTRUCT LTD,H
ASHAPURMIN,EQ,ASHAPURA MINECHEM LTD,H
ASIANTILES,EQ,ASIAN GRANITO IND. LTD.,H
ASTEC,EQ,ASTEC LIFESCIENCES LTD,H
ATLANTA,EQ,ATLANTA LIMITED,H
ATLASCYCLE,BE,ATLAS CYCLE (HARYANA) LTD,H
AUBANK,EQ,AU SMALL FINANCE BANK LTD,H
BAJAJHIND,EQ,BAJAJ HINDUSTHAN SUGAR LT,H
BALAXI,BE,BALAXI VENTURES LIMITED,H
BALKRISHNA,EQ,BALKRISHNA PAPER MILLS L,H
BARTRONICS,BZ,BARTRONICS INDIA LIMITED,H
BCG,EQ,BRIGHTCOM GROUP LIMITED,H
BEARDSELL,EQ,BEARDSELL LIMITED,H
BHARATWIRE,EQ,BHARAT WIRE ROPES LTD.,H
BILENERGY,EQ,BIL ENERGY SYSTEMS LTD,H
BIOFILCHEM,EQ,BIOFIL CHEM & PHARMA LTD,H
BIRLATYRE,BE,BIRLA TYRES LIMITED,H
BKMINDST,BE,BKM INDUSTRIES LIMITED,H
BLKASHYAP,BE,B.L.KASHYAP & SON LTD,H
BOHRA,ST,BOHRA INDUSTRIES LIMITED,H
CANDC,BZ,C&C CONST. LTD,H
CELEBRITY,EQ,CELEBRITY FASHIONS LTD,H
CENTRUM,EQ,CENTRUM CAPITAL LIMITED,H
CINEVISTA,BE,CINEVISTA LIMITED,H
COMPUSOFT,BE,COMPUCOM SOFTWARE LTD,H
COUNCODOS,EQ,COUNTRY CONDO'S LIMITED,H
CTE,EQ,CAMBRIDGE TECH ENTER LTD,H
DALMIASUG,EQ,DALMIA BHARAT SUG IN LTD,H
DATAMATICS,EQ,DATAMATICS GLOBAL SER LTD,H
DBREALTY,EQ,D B REALTY LIMITED,H
DGCONTENT,EQ,DIGICONTENT LIMITED,H
DIAPOWER,BZ,DIAMOND POWER INFRA LTD,H
DIGISPICE,EQ,DIGISPICE TECHNOLOGIES LT,H
DIGJAMLTD,BZ,DIGJAM LIMITED,H
DMART,BE,AVENUE SUPERMARTS LIMITED,H
DPWIRES,EQ,D P WIRES LIMITED,H
DUCON,BE,DUCON INFRATECHNOLOGIES L,H
EASUNREYRL,BZ,EASUN REYROLLE LTD,H
EBIXFOREX,BE,EBIXCASH WRLD MONEY IND,H
EDELWEISS,EQ,EDELWEISS FIN SERV LTD,H
EDUCOMP,BZ,EDUCOMP SOLUTIONS LTD,H
ELGIRUBCO,EQ,ELGI RUBBER CO. LTD,H
ENERGYDEV,BE,ENERGY DEVE. CO.LTD,H
ESTER,EQ,ESTER INDUSTRIES LTD,H
FCONSUMER,EQ,FUTURE CONSUMER LIMITED,H
FCSSOFT,EQ,FCS SOFTWARE SOLN. LTD.,H
FEL,EQ,FUTURE ENTERPRISES LTD,H
FMNL,EQ,FUTURE MKT NETWORKS LTD,H
FRETAIL,EQ,FUTURE RETAIL LIMITED,H
GAL,EQ,GYSCOAL ALLOYS LTD,H
GAYAPROJ,BE,GAYATRI PROJECTS LTD,H
GET&D,EQ,GE T&D INDIA LIMITED,H
GLOBAL,SM,GLOBAL EDUCATION LIMITED,H
GNA,EQ,GNA AXLES LIMITED,H
GOACARBON,BE,GOA CARBON LIMITED,H
GREENLAM,EQ,GREENLAM INDUSTRIES LTD.,H
GREENPOWER,EQ,ORIENT GREEN POWER CO LTD,H
GTL,BE,GTL LTD,H
GTLINFRA,BE,GTL INFRA.LTD,H
GTNTEX,BE,GTN TEXTILES LIMITED,H
HDIL,BZ,HOUSING DEV & INFRA LTD,H
HEXATRADEX,BE,HEXA TRADEX LIMITED,H
HITECH,EQ,HI-TECH PIPES LIMITED,H
HMT,BZ,HMT LTD -,H
IBMFNIFTY,EQ,IBULLSAMC - IBMFNIFTY,H
IFBIND,EQ,IFB INDUSTRIES LTD,H
IL&FSTRANS,BZ,IL&FS TRANS NET LTD,H
INDLMETER,BE,IMP POWERS LTD,H
INDOSOLAR,BZ,INDOSOLAR LIMITED,H
INDOTHAI,EQ,INDO THAI SEC LTD,H
INDOWIND,EQ,INDOWIND ENERGY LTD,H
IRCTC,EQ,INDIAN RAIL TOUR CORP LTD,H
ISFT,EQ,INTRASOFT TECH. LTD,H
IVP,BE,IVP LIMITED,H
J&KBANK,EQ,J & K BANK LTD.,H
JAYNECOIND,BE,JAYASWAL NECO INDUSTR LTD,H
JBFIND,BE,JBF INDUS LTD -DEP-LS ML,H
JITFINFRA,BE,JITF INFRALOGISTICS LTD,H
JIYAECO,EQ,JIYA ECO-PRODUCTS LTD,H
JMTAUTOLTD,BE,JMT AUTO LIMITED,H
JPASSOCIAT,EQ,JAIPRAKASH ASSOCIATES LTD,H
JPPOWER,BE,JAIPRAKASH POWER VEN. LTD,H
JUBILANT,EQ,JUBILANT LIFE SCIENCE LTD,H
JVLAGRO,BZ,JVL AGRO INDUSTRIES LTD,H
JYOTISTRUC,BZ,JYOTI STRUCTURES LTD,H
KARMAENG,EQ,KARMA ENERGY LIMITED,H
KEYFINSERV,BE,KEYNOTE FIN SERV LTD.,H
KGL,BZ,KARUTURI GLOBAL LIMITED,H
KIRIINDUS,EQ,KIRI INDUSTRIES LIMITED,H
KOPRAN,EQ,KOPRAN LTD,H
KRIDHANINF,BE,KRIDHAN INFRA LIMITED,H
KSERASERA,BE,KSS LIMITED,H
LAKSHVILAS,EQ,LAKSHMI VILAS BANK LTD,H
LGBFORGE,EQ,LGB FORGE LIMITED,H
LICNETFSEN,EQ,LICNAMC - LICNFESGP,H
LSIL,EQ,LLOYDS STEELS IND. LTD.,H
LYPSAGEMS,EQ,LYPSA GEMS & JEWEL LTD,H
M15RG,MF,SUNDARMAMC - M15RG,H
MACPOWER,SM,MACPOWER CNC MACHINES LTD,H
MAGADSUGAR,EQ,MAGADH SUGAR & ENERGY LTD,H
MAGNUM,BE,MAGNUM VENTURES LTD.,H
MAHAPEXLTD,BE,MAHA RASHTRA APEX COPR. L,H
MANGALAM,BE,MANGALAM DRUG & CHEM LTD,H
MARATHON,EQ,MARATHON NXTGEN REALT LTD,H
MBECL,BE,MCNALLY BH. ENG. CO.LTD,H
MERCATOR,BE,MERCATOR LIMITED,H
METALFORGE,BE,METALYST FORGINGS LIMITED,H
MIC,BE,MIC ELECTRONICS LIMITED,H
MOHOTAIND,EQ,MOHOTA INDUSTRIES LIMITED,H
MUKANDLTD,EQ,MUKAND LTD.,H
MUNJALSHOW,EQ,MUNJAL SHOWA LTD,H
NECCLTD,EQ,NORTH EAST CARRY CORP LTD,H
NIBL,BE,NRB INDUS. BEARINGS LTD.,H
NILASPACES,EQ,NILA SPACES LIMITED,H
NKIND,EQ,NK INDUSTRIES LTD,H
OISL,BE,OCL IRON AND STEEL LTD,H
ONELIFECAP,EQ,ONELIFE CAP ADVISORS LTD,H
OPTOCIRCUI,BE,OPTO CIRCUITS (I) LTD,H
ORTEL,BZ,ORTEL COMMUNICATIONS LTD,H
PAISALO,EQ,PAISALO DIGITAL LIMITED,H
PALASHSECU,EQ,PALASH SECURITIES LTD,H
PALREDTEC,EQ,PALRED TECHNOLOGIES LTD,H
PARSVNATH,BE,PARSVNATH DEVELOPER LTD,H
PCJEWELLER,BE,PC JEWELLER LTD,H
PENINLAND,BE,PENINSULA LAND LIMITED,H
PRAKASHSTL,BE,PRAKASH STEELAGE LTD,H
PROZONINTU,BE,PROZONE INTU PROPRTIS LTD,H
PUNJLLOYD,BZ,PUNJ LLOYD LIMITED,H
QUESS,EQ,QUESS CORP LIMITED,H
RELIABLE,SM,RELIABLE DATA SERVICE LTD,H
RENUKA,EQ,SHREE RENUKA SUGARS LTD,H
RMCL,BE,RADHA MADHAV CO. LTD.,H
RNAVAL,BE,RELIANCE NAVAL & ENGG LTD,H
ROHITFERRO,BE,ROHIT FERRO-TECH LIMITED,H
ROLTA,BE,ROLTA INDIA - DEP SETT,H
RTNINFRA,BE,RATTANINDIA INFRA LIMITED,H
RTNPOWER,EQ,RATTANINDIA POWER LIMITED,H
RUCHINFRA,BE,RUCHI INFRASTRUCTURE LTD,H
RVNL,EQ,RAIL VIKAS NIGAM LIMITED,H
SADBHAV,BE,SADBHAV ENGINEERING LTD,H
SAMBHAAV,EQ,SAMBHAAV MEDIA LTD,H
SANGINITA,EQ,SANGINITA CHEMICALS LTD,H
SATIN,EQ,SATIN CREDIT NET LTD,H
SCAPDVR,BE,STAMPEDE CAPITAL LIMITED,H
SETUINFRA,BE,SETUBANDHAN INFRA LTD,H
SHANTIGEAR,EQ,SHANTHI GEARS LTD,H
SHREDIGCEM,EQ,SHREE DIGVIJAY CEM CO LTD,H
SHREERAMA,EQ,SHREE RAMA MULTI TECH LTD,H
SHYAMCENT,EQ,SHYAM CENTURY FERROUS LTD,H
SIMPLEXINF,EQ,SIMPLEX INFRASTRUCTURES L,H
SINTEX,EQ,SINTEX INDUSTRIES LTD,H
SITINET,BE,SITI NETWORKS LIMITED,H
SKIL,BE,SKIL INFRASTRUCTURE LTD.,H
SPTL,BE,SINTEX PLASTICS TECH LTD,H
SUBEX,EQ,SUBEX LIMITED,H
SUMEETINDS,EQ,SUMEET IND LIMITED,H
SUNDARAM,EQ,SUNDARAM MULTI PAP LTD,H
SUPERSPIN,BE,SUPER SPINNING MILLS LTD,H
SUVEN,EQ,SUVEN LIFE SCIENCES LTD,H
SUZLON,EQ,SUZLON ENERGY LIMITED,H
SWSOLAR,EQ,STERLING & WILSON SO LTD,H
SYNCOM,BE,SYNCOM HEALTHCARE LTD,H
TALWALKARS,BZ,TALWALKAR FITNESS LTD,H
TCPLPACK,EQ,TCPL PACKAGING LIMITED,H
THEINVEST,EQ,THE INVEST TRUST OF IND L,H
