MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N1,ERFLNCDI,SEC RED NCD 8.42% SR. I,       890.00,       842.10,       842.10,       842.10,       842.10,                     8421.00,10, ,2,      1005.00,       701.05
N,N1,ICFL,SEC RED NCD 10.75% SR. I,       835.00,       835.00,       880.00,       835.00,       880.00,                    65000.00,75, ,10,      1023.00,       701.00
N,N1,IIFCL,7.40% TAX FREETRI SRIII,      1190.00,      1195.00,      1195.00,      1195.00,      1195.00,                     1195.00,1, ,1,      1314.00,      1053.00
N,N1,IRFC,BOND 8.00% PA TAX FREE S1,      1107.00,      1107.50,      1107.50,      1107.00,      1107.30,                   166105.00,150, ,3,      1157.20,      1025.00
N,N1,L&TINFRA,BOND 7.75% PA 2010A S1,      1035.00,      1030.00,      1036.00,      1030.00,      1036.00,                    31995.00,31, ,3,      1090.00,       950.10
N,N1,NHAI,BOND 8.20% PA TAX FREE S1,      1105.00,      1105.00,      1108.48,      1105.00,      1106.02,                  2259195.85,2043, ,15,      1157.99,      1055.00
N,N1,NHBTF2014,BOND 8.26%PA TF TR-I S1A,      6100.00,      6100.00,      6100.00,      6100.00,      6100.00,                   109800.00,18, ,1,      6574.00,      5386.00
N,N1,RECLTD,TAXFREE SEC NCD TR1 S1,      1094.90,      1093.50,      1100.00,      1093.50,      1097.01,                   301918.01,275, ,16,      1182.60,      1010.00
N,N2,BRITANNIA,8.00% SEC RED NCD,        32.79,        32.53,        32.91,        32.51,        32.63,                   101747.13,3115, ,54,        35.80,        30.00
N,N2,ERFLNCDI,SEC RED NCD 8.75% SR. II,       840.00,       840.00,       840.00,       840.00,       840.00,                    84000.00,100, ,1,      1039.99,       611.05
N,N2,HUDCO,8.20 NCD05MAR27 FV 1000,      1202.27,      1213.99,      1213.99,      1200.00,      1205.33,                   868410.24,720, ,11,      1369.90,      1051.60
N,N2,IBUCCREDIT,SE RE NCD SR.I-CIII&IV,      1086.00,      1070.00,      1070.00,      1070.00,      1070.00,                    10700.00,10, ,1,      1086.00,       801.00
N,N2,ICFL,SEC RED NCD SR. II,       911.40,       910.00,       910.00,       910.00,       910.00,                     9100.00,10, ,1,      1009.90,       675.00
N,N2,IDFCFIRSTB,BOND 0% 2020 TR-I SR-II,     10270.01,     10255.01,     10255.01,     10255.01,     10255.01,                    41020.04,4, ,1,     10330.00,      8105.00
N,N2,IREDA,IREDA 8.55NCDTR I SR II A,      1521.80,      1255.00,      1255.00,      1250.00,      1250.00,                 15625030.00,12500, ,3,      1799.00,      1159.10
N,N2,IRFC,BOND 8.10% PA TAX FREE S2,      1230.00,      1255.00,      1255.00,      1255.00,      1255.00,                     3765.00,3, ,1,      1284.00,      1120.61
N,N2,M&MFIN,9.00% UNSECURED NCD,      1071.60,      1080.00,      1084.99,      1080.00,      1084.99,                   243671.65,225, ,3,      1097.00,       845.00
N,N2,NABARD,7.64% TAX FREE TRI SRIIB,      1215.72,      1216.50,      1220.00,      1216.00,      1219.96,                   264562.58,217, ,18,      1320.00,      1100.00
N,N2,NHAI,BOND 8.30% PA TAX FREE S2,      1296.00,      1295.00,      1299.90,      1290.10,      1295.51,                  3722571.15,2875, ,26,      1300.00,      1029.85
N,N2,SBIN,BOND 9.50% PA SERIES 2,     10971.76,     11099.00,     11100.00,     10951.00,     10951.00,                   220504.00,20, ,5,     11949.00,     10053.00
N,N3,HUDCO,8.10 NCD 05MAR22 FV 1000,      1069.06,      1068.00,      1068.00,      1066.10,      1066.12,                   648298.63,608, ,9,      1277.50,      1010.00
N,N3,ICFL,SEC RED NCD 10.4% SR. III,       899.00,       921.00,       921.00,       921.00,       921.00,                     4605.00,5, ,1,       999.99,       705.00
N,N3,IRFC,7.18 NCD 19FEB23 TR1 SR1,      1119.00,      1114.00,      1119.90,      1114.00,      1115.00,                    13404.40,12, ,6,      1129.00,      1033.20
N,N3,L&TINFRA,BOND 7.50% PA 2010A S3,      1032.00,      1025.01,      1033.00,      1014.14,      1015.11,                    71426.15,70, ,5,      1060.00,       825.01
N,N3,MAGMA,SEC RED NCD 10.04% SR.III,       950.00,       900.00,       900.00,       900.00,       900.00,                    22500.00,25, ,1,      1000.00,       900.00
N,N4,IIFCL,8.91% TAX FREE NCD,      1405.90,      1414.80,      1414.80,      1400.00,      1405.00,                   200709.80,143, ,10,      1414.80,      1240.00
N,N4,L&TINFRA,BOND 7.50% CA 2010A S4,      1955.00,      1955.00,      1960.00,      1955.00,      1960.00,                    78375.00,40, ,4,      1997.00,      1772.10
N,N4,NHAI,8.52% TAX FREE TR I S IB,      1179.70,      1179.70,      1179.70,      1179.70,      1179.70,                     1179.70,1, ,1,      1266.00,      1057.10
N,N4,PFC,8.20% TAX FREE NCD,      1107.00,      1108.00,      1108.00,      1108.00,      1108.00,                     2216.00,2, ,1,      1148.99,      1015.00
N,N4,TATACAPHSG,SEC RED NCD 8.01% SR.II,      1008.99,      1020.00,      1025.00,      1020.00,      1024.15,                   506130.00,495, ,15,      1032.00,       925.30
