Sr.No,Symbol,Segment,Quantity Traded,Deliverable Quantity,% of Deliverable Quantity
1,20MICRONS,EQ,17957,11387,63.41
2,21STCENMGM,EQ,27,27,100.00
3,3IINFOTECH,EQ,1883857,1146132,60.84
4,3MINDIA,EQ,1825,757,41.48
5,3PLAND,EQ,500,500,100.00
6,5PAISA,EQ,20000,11714,58.57
7,716GS2050,GS,100,100,100.00
8,719GS2060,GS,101,101,100.00
9,75GS2034,GS,220,220,100.00
10,A2ZINFRA,EQ,69393,50463,72.72
11,AAKASH,SM,6000,6000,100.00
12,AARTIDRUGS,EQ,158918,57448,36.15
13,AARTIIND,EQ,452080,141158,31.22
14,AARVEEDEN,EQ,4924,3716,75.47
15,AARVI,SM,4000,4000,100.00
16,AAVAS,EQ,13866,6353,45.82
17,ABB,EQ,126840,65853,51.92
18,ABBOTINDIA,EQ,9692,5044,52.04
19,ABCAPITAL,EQ,4304414,515350,11.97
20,ABFRL,EQ,3112451,866421,27.84
21,ABSLBANETF,EQ,821,495,60.29
22,ABSLNN50ET,EQ,196,140,71.43
23,ABSLRIF6RG,MF,5000,5000,100.00
24,ACC,EQ,1632263,273644,16.76
25,ACCELYA,EQ,2941,1340,45.56
26,ACE,EQ,79831,47676,59.72
27,ADANIENT,EQ,2449109,595562,24.32
28,ADANIGAS,EQ,4406548,1053958,23.92
29,ADANIGREEN,EQ,495551,322011,64.98
30,ADANIPORTS,EQ,3428549,891323,26.00
31,ADANIPOWER,EQ,13601869,3192369,23.47
32,ADANITRANS,EQ,575536,372146,64.66
33,ADFFOODS,EQ,94930,51864,54.63
34,ADHUNIKIND,EQ,48167,40242,83.55
35,ADORWELD,EQ,3243,1341,41.35
36,ADSL,EQ,11053,7910,71.56
37,ADVANIHOTR,EQ,2360,1392,58.98
38,ADVENZYMES,EQ,60991,35450,58.12
39,AEGISCHEM,EQ,62689,46244,73.77
40,AGARIND,EQ,35632,25126,70.52
41,AGROPHOS,EQ,40200,40200,100.00
42,AHLADA,SM,9000,4000,44.44
43,AHLEAST,EQ,4946,913,18.46
44,AHLUCONT,EQ,1930,1521,78.81
45,AIAENG,EQ,42951,35459,82.56
46,AIRAN,EQ,34872,24065,69.01
47,AJANTPHARM,EQ,225860,47553,21.05
48,AJMERA,EQ,32041,16218,50.62
49,AKSHARCHEM,EQ,14099,7723,54.78
50,AKSHOPTFBR,EQ,73483,48298,65.73
51,AKZOINDIA,EQ,5494,3022,55.01
52,ALANKIT,EQ,29615,21396,72.25
53,ALBERTDAVD,EQ,54574,18917,34.66
54,ALEMBICLTD,EQ,425885,222897,52.34
55,ALICON,EQ,454,340,74.89
56,ALKALI,EQ,5472,4221,77.14
57,ALKEM,EQ,94050,42525,45.22
58,ALKYLAMINE,EQ,61807,27306,44.18
59,ALLCARGO,EQ,47490,25847,54.43
60,ALLSEC,EQ,6252,5542,88.64
61,ALMONDZ,EQ,3839,3281,85.46
62,ALOKINDS,EQ,6739340,3743737,55.55
63,ALPA,EQ,21750,16066,73.87
64,ALPHAGEO,EQ,32570,23763,72.96
65,AMARAJABAT,EQ,4067306,228589,5.62
