MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,       238.32,       238.32,       269.00,       228.20,       255.65,                    86669.73,343,41,       340.00,       193.00,NIFTY NEXT 50 ETF
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,      4120.85,      4120.85,      4180.00,      4120.85,      4169.65,                  2422559.55,581,148,      4802.10,      2751.00,GOLD
N,EQ,BANKBEES,NIPPONINDIA ETF BANK BEES,       175.87,       177.70,       181.10,       175.30,       179.04,                124313979.33,697048,7576,      3298.88,       169.55,NIFTY BANK
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,      4369.00,      4351.00,      4470.00,      4336.05,      4398.25,                   766804.35,174,87,      5072.20,      2891.00,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,       113.96,       104.01,       114.10,       103.10,       110.19,                    66317.51,621,91,       140.00,        85.27,NIFTY 50
N,EQ,CPSEETF,CPSE ETF,        16.04,        16.15,        16.26,        15.91,        16.20,                 12606864.10,779068,22983,        28.91,        11.54,NIFTY CPSE
N,EQ,EBBETF0423,EDELAMC - EBBETF0423,      1042.60,      1044.10,      1046.25,      1042.60,      1045.75,                  3133921.81,2999,90,      1122.00,       830.90,NIFTY BHARAT BOND
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1065.00,      1062.51,      1066.00,      1062.25,      1065.51,                 39176595.16,36757,72,      1075.00,       991.10,NIFTY BHARAT BOND
N,EQ,GOLDBEES,NIPP IND ETF GOLD BEES,        41.37,        42.00,        42.12,        41.61,        41.88,                218123683.75,5203238,15948,      3555.00,        30.10,GOLD
N,EQ,GOLDSHARE,UTI GOLD ETF,      4313.00,      4330.00,      4383.00,      4311.00,      4327.90,                  2749233.00,635,187,      4574.20,      2796.60,GOLD
N,EQ,HDFCMFGETF,HDFC GOLD ETF,      4241.30,      4295.00,      4303.90,      4266.10,      4280.55,                 39561409.50,9222,680,      4830.70,      2843.50,GOLD
N,EQ,HDFCNIFETF,HDFCAMC - HDFCNIFETF,       938.47,       946.34,       956.50,       940.00,       951.21,                  1053154.55,1111,93,      1349.00,       850.00,NIFTY
N,EQ,HDFCSENETF,HDFCAMC - HDFCSENETF,      3224.94,      3250.05,      3356.00,      3236.00,      3296.00,                  1009896.10,310,54,      4966.00,      2940.00,SENSEX
N,EQ,HNGSNGBEES,NIP IN ETF HANG SENG BEES,       348.10,       348.10,       355.40,       348.00,       355.40,                    74621.15,211,9,      3756.89,       278.90,HANG SENG INDEX
N,EQ,IBMFNIFTY,IBULLSAMC - IBMFNIFTY,       106.23,       106.00,       108.02,       103.16,       105.58,                    35303.47,332,26,       140.00,        68.09,NIFTY 50
N,EQ,ICICI500,ICICIPRAMC - ICICI500,       119.00,       119.75,       121.10,       118.08,       121.10,                   205417.14,1728,32,       179.00,        88.02,S&P BSE 500 INDEX
N,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,        22.20,        22.17,        22.66,        22.10,        22.41,                  3987753.57,178450,5959,        39.90,        20.70,S&P BSE BHARAT 22 INDEX
N,EQ,ICICIBANKN,ICICIPRAMC - IPRU5008,       174.22,       181.20,       181.20,       173.67,       176.85,                  5751696.19,32717,380,       374.20,       164.32,NIFTY BANK
